id,stateabb,ccode,year,chrstgen,islmnat,islmalw,chrstorth,major
1,USA,2,1817,.,.,.,.,0.0
2,USA,2,1818,.,.,.,.,0.0
3,USA,2,1819,.,.,.,.,0.0
4,USA,2,1820,.,.,.,.,0.0
5,USA,2,1821,.,.,.,.,0.0
6,USA,2,1822,.,.,.,.,0.0
7,USA,2,1823,.,.,.,.,0.0
8,USA,2,1824,.,.,.,.,0.0
9,USA,2,1825,.,.,.,.,0.0
10,USA,2,1826,.,.,.,.,0.0
11,USA,2,1827,.,.,.,.,0.0
12,USA,2,1828,.,.,.,.,0.0
13,USA,2,1829,.,.,.,.,0.0
14,USA,2,1830,.,.,.,.,0.0
15,USA,2,1831,.,.,.,.,0.0
16,USA,2,1832,.,.,.,.,0.0
17,USA,2,1833,.,.,.,.,0.0
18,USA,2,1834,.,.,.,.,0.0
19,USA,2,1835,.,.,.,.,0.0
20,USA,2,1836,.,.,.,.,0.0
21,USA,2,1837,.,.,.,.,0.0
22,USA,2,1838,.,.,.,.,0.0
23,USA,2,1839,.,.,.,.,0.0
24,USA,2,1840,.,.,.,.,0.0
25,USA,2,1841,.,.,.,.,0.0
26,USA,2,1842,.,.,.,.,0.0
27,USA,2,1843,.,.,.,.,0.0
28,USA,2,1844,.,.,.,.,0.0
29,USA,2,1845,.,.,.,.,0.0
30,USA,2,1846,.,.,.,.,0.0
31,USA,2,1847,.,.,.,.,0.0
32,USA,2,1848,.,.,.,.,0.0
33,USA,2,1849,.,.,.,.,0.0
34,USA,2,1850,.,.,.,.,0.0
35,USA,2,1851,.,.,.,.,0.0
36,USA,2,1852,.,.,.,.,0.0
37,USA,2,1853,.,.,.,.,0.0
38,USA,2,1854,.,.,.,.,0.0
39,USA,2,1855,.,.,.,.,0.0
40,USA,2,1856,.,.,.,.,0.0
41,USA,2,1857,.,.,.,.,0.0
42,USA,2,1858,.,.,.,.,0.0
43,USA,2,1859,.,.,.,.,0.0
44,USA,2,1860,.,.,.,.,0.0
45,USA,2,1861,.,.,.,.,0.0
46,USA,2,1862,.,.,.,.,0.0
47,USA,2,1863,.,.,.,.,0.0
48,USA,2,1864,.,.,.,.,0.0
49,USA,2,1865,.,.,.,.,0.0
50,USA,2,1866,.,.,.,.,0.0
51,USA,2,1867,.,.,.,.,0.0
52,USA,2,1868,.,.,.,.,0.0
53,USA,2,1869,.,.,.,.,0.0
54,USA,2,1870,.,.,.,.,0.0
55,USA,2,1871,.,.,.,.,0.0
56,USA,2,1872,.,.,.,.,0.0
57,USA,2,1873,.,.,.,.,0.0
58,USA,2,1874,.,.,.,.,0.0
59,USA,2,1875,.,.,.,.,0.0
60,USA,2,1876,.,.,.,.,0.0
61,USA,2,1877,.,.,.,.,0.0
62,USA,2,1878,.,.,.,.,0.0
63,USA,2,1879,.,.,.,.,0.0
64,USA,2,1880,.,.,.,.,0.0
65,USA,2,1881,.,.,.,.,0.0
66,USA,2,1882,.,.,.,.,0.0
67,USA,2,1883,.,.,.,.,0.0
68,USA,2,1884,.,.,.,.,0.0
69,USA,2,1885,.,.,.,.,0.0
70,USA,2,1886,.,.,.,.,0.0
71,USA,2,1887,.,.,.,.,0.0
72,USA,2,1888,.,.,.,.,0.0
