stateabb,ccode,year,democ,autoc,polity,polity2
AFG,700,1800,1,7,-6,-6
AFG,700,1801,1,7,-6,-6
AFG,700,1802,1,7,-6,-6
AFG,700,1803,1,7,-6,-6
AFG,700,1804,1,7,-6,-6
AFG,700,1805,1,7,-6,-6
AFG,700,1806,1,7,-6,-6
AFG,700,1807,1,7,-6,-6
AFG,700,1808,1,7,-6,-6
AFG,700,1809,1,7,-6,-6
AFG,700,1810,1,7,-6,-6
AFG,700,1811,1,7,-6,-6
AFG,700,1812,1,7,-6,-6
AFG,700,1813,1,7,-6,-6
AFG,700,1814,1,7,-6,-6
AFG,700,1815,1,7,-6,-6
AFG,700,1816,1,7,-6,-6
AFG,700,1817,1,7,-6,-6
AFG,700,1818,1,7,-6,-6
AFG,700,1819,1,7,-6,-6
AFG,700,1820,1,7,-6,-6
AFG,700,1821,1,7,-6,-6
AFG,700,1822,1,7,-6,-6
AFG,700,1823,1,7,-6,-6
AFG,700,1824,1,7,-6,-6
AFG,700,1825,1,7,-6,-6
AFG,700,1826,1,7,-6,-6
AFG,700,1827,1,7,-6,-6
AFG,700,1828,1,7,-6,-6
AFG,700,1829,1,7,-6,-6
AFG,700,1830,1,7,-6,-6
AFG,700,1831,1,7,-6,-6
AFG,700,1832,1,7,-6,-6
AFG,700,1833,1,7,-6,-6
AFG,700,1834,1,7,-6,-6
AFG,700,1835,1,7,-6,-6
AFG,700,1836,1,7,-6,-6
AFG,700,1837,1,7,-6,-6
AFG,700,1838,1,7,-6,-6
AFG,700,1839,1,7,-6,-6
AFG,700,1840,1,7,-6,-6
AFG,700,1841,1,7,-6,-6
AFG,700,1842,1,7,-6,-6
AFG,700,1843,1,7,-6,-6
AFG,700,1844,1,7,-6,-6
AFG,700,1845,1,7,-6,-6
AFG,700,1846,1,7,-6,-6
AFG,700,1847,1,7,-6,-6
AFG,700,1848,1,7,-6,-6
AFG,700,1849,1,7,-6,-6
AFG,700,1850,1,7,-6,-6
AFG,700,1851,1,7,-6,-6
AFG,700,1852,1,7,-6,-6
AFG,700,1853,1,7,-6,-6
AFG,700,1854,1,7,-6,-6
AFG,700,1855,1,7,-6,-6
AFG,700,1856,1,7,-6,-6
AFG,700,1857,1,7,-6,-6
AFG,700,1858,1,7,-6,-6
AFG,700,1859,1,7,-6,-6
AFG,700,1860,1,7,-6,-6
AFG,700,1861,1,7,-6,-6
AFG,700,1862,1,7,-6,-6
AFG,700,1863,1,7,-6,-6
AFG,700,1864,1,7,-6,-6
AFG,700,1865,1,7,-6,-6
AFG,700,1866,1,7,-6,-6
AFG,700,1867,1,7,-6,-6
AFG,700,1868,1,7,-6,-6
AFG,700,1869,1,7,-6,-6
AFG,700,1870,1,7,-6,-6
AFG,700,1871,1,7,-6,-6
AFG,700,1872,1,7,-6,-6
AFG,700,1873,1,7,-6,-6
AFG,700,1874,1,7,-6,-6
AFG,700,1875,1,7,-6,-6
AFG,700,1876,1,7,-6,-6
AFG,700,1877,1,7,-6,-6
AFG,700,1878,1,7,-6,-6
AFG,700,1879,1,7,-6,-6
AFG,700,1880,1,7,-6,-6
AFG,700,1881,1,7,-6,-6
AFG,700,1882,1,7,-6,-6
AFG,700,1883,1,7,-6,-6
AFG,700,1884,1,7,-6,-6
AFG,700,1885,1,7,-6,-6
AFG,700,1886,1,7,-6,-6
AFG,700,1887,1,7,-6,-6
AFG,700,1888,1,7,-6,-6
AFG,700,1889,1,7,-6,-6
AFG,700,1890,1,7,-6,-6
AFG,700,1891,1,7,-6,-6
AFG,700,1892,1,7,-6,-6
AFG,700,1893,1,7,-6,-6
AFG,700,1894,1,7,-6,-6
AFG,700,1895,1,7,-6,-6
AFG,700,1896,1,7,-6,-6
AFG,700,1897,1,7,-6,-6
AFG,700,1898,1,7,-6,-6
AFG,700,1899,1,7,-6,-6
AFG,700,1900,1,7,-6,-6
AFG,700,1901,1,7,-6,-6
AFG,700,1902,1,7,-6,-6
AFG,700,1903,1,7,-6,-6
AFG,700,1904,1,7,-6,-6
AFG,700,1905,1,7,-6,-6
AFG,700,1906,1,7,-6,-6
AFG,700,1907,1,7,-6,-6
AFG,700,1908,1,7,-6,-6
AFG,700,1909,1,7,-6,-6
AFG,700,1910,1,7,-6,-6
