stateabb,ccode,year,polyarchy,libdem,partipdem,delibdem,egaldem
MEX,70,1789,0.028,0.045,0.006,,
MEX,70,1790,0.028,0.045,0.006,,
MEX,70,1791,0.028,0.045,0.006,,
MEX,70,1792,0.028,0.045,0.006,,
MEX,70,1793,0.028,0.045,0.006,,
MEX,70,1794,0.028,0.045,0.006,,
MEX,70,1795,0.028,0.045,0.006,,
MEX,70,1796,0.028,0.045,0.006,,
MEX,70,1797,0.028,0.045,0.006,,
MEX,70,1798,0.028,0.045,0.006,,
MEX,70,1799,0.028,0.045,0.006,,
MEX,70,1800,0.028,0.045,0.006,,
MEX,70,1801,0.028,0.045,0.006,,
MEX,70,1802,0.028,0.045,0.006,,
MEX,70,1803,0.028,0.045,0.006,,
MEX,70,1804,0.028,0.045,0.006,,
MEX,70,1805,0.028,0.045,0.006,,
MEX,70,1806,0.028,0.045,0.006,,
MEX,70,1807,0.028,0.045,0.006,,
MEX,70,1808,0.028,0.045,0.006,,
MEX,70,1809,0.028,0.049,0.006,,
MEX,70,1810,0.031,0.048,0.006,,
MEX,70,1811,0.031,0.048,0.006,,
MEX,70,1812,0.054,0.053,0.008,,
MEX,70,1813,0.054,0.052,0.008,,
MEX,70,1814,0.054,0.052,0.008,,
MEX,70,1815,0.054,0.052,0.008,,
MEX,70,1816,0.041,0.051,0.007,,
MEX,70,1817,0.041,0.051,0.007,,
MEX,70,1818,0.041,0.051,0.007,,
MEX,70,1819,0.041,0.051,0.007,,
MEX,70,1820,0.069,0.032,0.009,,
MEX,70,1821,0.118,0.038,0.041,,
MEX,70,1822,0.119,0.104,0.069,,
MEX,70,1823,0.181,0.119,0.081,,
MEX,70,1824,0.181,0.132,0.093,,
MEX,70,1825,0.181,0.136,0.133,,
MEX,70,1826,0.181,0.136,0.133,,
MEX,70,1827,0.181,0.136,0.133,,
MEX,70,1828,0.181,0.136,0.133,,
MEX,70,1829,0.181,0.136,0.133,,
MEX,70,1830,0.181,0.13,0.133,,
MEX,70,1831,0.15,0.122,0.125,,
MEX,70,1832,0.162,0.125,0.128,,
MEX,70,1833,0.181,0.13,0.133,,
MEX,70,1834,0.181,0.13,0.133,,
MEX,70,1835,0.181,0.13,0.133,,
MEX,70,1836,0.181,0.14,0.082,,
MEX,70,1837,0.162,0.135,0.078,,
MEX,70,1838,0.162,0.135,0.078,,
MEX,70,1839,0.162,0.135,0.078,,
MEX,70,1840,0.162,0.146,0.078,,
MEX,70,1841,0.155,0.118,0.077,,
MEX,70,1842,0.186,0.126,0.084,,
MEX,70,1843,0.229,0.157,0.094,,
MEX,70,1844,0.229,0.157,0.094,,
MEX,70,1845,0.229,0.157,0.094,,
MEX,70,1846,0.19,0.127,0.085,,
MEX,70,1847,0.214,0.133,0.135,,
MEX,70,1848,0.229,0.137,0.139,,
MEX,70,1849,0.229,0.137,0.139,,
MEX,70,1850,0.196,0.12,0.129,,
MEX,70,1851,0.196,0.12,0.129,,
MEX,70,1852,0.196,0.12,0.129,,
MEX,70,1853,0.196,0.12,0.129,,
MEX,70,1854,0.237,0.14,0.141,,
MEX,70,1855,0.237,0.14,0.141,,
MEX,70,1856,0.237,0.141,0.141,,
MEX,70,1857,0.237,0.135,0.154,,
MEX,70,1858,0.155,0.108,0.131,,
MEX,70,1859,0.15,0.107,0.13,,
MEX,70,1860,0.15,0.111,0.12,,
MEX,70,1861,0.15,0.11,0.12,,
MEX,70,1862,0.15,0.11,0.12,,
MEX,70,1863,0.15,0.11,0.12,,
MEX,70,1864,0.15,0.11,0.118,,
MEX,70,1865,0.15,0.058,0.118,,
MEX,70,1866,0.15,0.058,0.118,,
MEX,70,1867,0.178,0.106,0.122,,
MEX,70,1868,0.197,0.111,0.13,,
MEX,70,1869,0.197,0.111,0.13,,
MEX,70,1870,0.197,0.114,0.13,,
MEX,70,1871,0.197,0.114,0.13,,
MEX,70,1872,0.197,0.114,0.13,,
MEX,70,1873,0.197,0.114,0.13,,
MEX,70,1874,0.197,0.114,0.13,,
MEX,70,1875,0.197,0.114,0.13,,
MEX,70,1876,0.149,0.083,0.102,,
MEX,70,1877,0.131,0.06,0.098,,
MEX,70,1878,0.13,0.06,0.098,,
MEX,70,1879,0.13,0.06,0.098,,
MEX,70,1880,0.13,0.06,0.098,,
MEX,70,1881,0.13,0.06,0.098,,
MEX,70,1882,0.13,0.06,0.098,,
MEX,70,1883,0.13,0.06,0.098,,
MEX,70,1884,0.13,0.06,0.098,,
MEX,70,1885,0.13,0.06,0.098,,
MEX,70,1886,0.13,0.06,0.098,,
MEX,70,1887,0.13,0.06,0.098,,
MEX,70,1888,0.13,0.06,0.098,,
MEX,70,1889,0.13,0.06,0.098,,
MEX,70,1890,0.13,0.06,0.098,,
MEX,70,1891,0.13,0.06,0.098,,
MEX,70,1892,0.13,0.06,0.098,,
MEX,70,1893,0.13,0.06,0.098,,
MEX,70,1894,0.13,0.06,0.098,,
MEX,70,1895,0.13,0.06,0.098,,
MEX,70,1896,0.13,0.06,0.098,,
MEX,70,1897,0.13,0.06,0.098,,
MEX,70,1898,0.13,0.06,0.098,,
MEX,70,1899,0.13,0.06,0.098,,
MEX,70,1900,0.124,0.06,0.098,0.034,0.026
MEX,70,1901,0.109,0.058,0.095,0.032,0.024
MEX,70,1902,0.109,0.058,0.095,0.032,0.024
MEX,70,1903,0.109,0.058,0.095,0.032,0.024
MEX,70,1904,0.109,0.058,0.095,0.032,0.024
MEX,70,1905,0.109,0.058,0.095,0.032,0.024
MEX,70,1906,0.109,0.058,0.095,0.032,0.024
MEX,70,1907,0.109,0.058,0.096,0.032,0.024
MEX,70,1908,0.109,0.058,0.096,0.032,0.024
MEX,70,1909,0.109,0.058,0.096,0.032,0.024
MEX,70,1910,0.118,0.058,0.098,0.036,0.029
MEX,70,1911,0.135,0.073,0.109,0.078,0.032
MEX,70,1912,0.189,0.087,0.127,0.094,0.051
MEX,70,1913,0.113,0.06,0.109,0.07,0.038
MEX,70,1914,0.102,0.042,0.107,0.069,0.037
MEX,70,1915,0.107,0.045,0.108,0.079,0.037
MEX,70,1916,0.111,0.047,0.109,0.08,0.038
MEX,70,1917,0.145,0.093,0.116,0.096,0.056
MEX,70,1918,0.153,0.095,0.118,0.107,0.061
MEX,70,1919,0.224,0.113,0.137,0.126,0.075
MEX,70,1920,0.202,0.104,0.125,0.119,0.071
MEX,70,1921,0.195,0.107,0.123,0.112,0.067
MEX,70,1922,0.195,0.107,0.123,0.112,0.067
MEX,70,1923,0.195,0.107,0.123,0.119,0.067
MEX,70,1924,0.191,0.106,0.122,0.121,0.066
MEX,70,1925,0.187,0.102,0.121,0.12,0.066
MEX,70,1926,0.184,0.1,0.12,0.119,0.065
MEX,70,1927,0.184,0.1,0.12,0.119,0.065
MEX,70,1928,0.183,0.095,0.12,0.119,0.068
MEX,70,1929,0.177,0.086,0.123,0.125,0.071
