id,stateabb1,ccode1,stateabb2,ccode2,year,defense,milex_1,milex_2,tpop_1,tpop_2
1,USA,2,CAN,20,1950,1,14559000,447964,152271.0,13737.0
2,USA,2,CAN,20,1951,1,33398000,1150942,154878.0,14050.0
3,USA,2,CAN,20,1952,1,47852000,1843656,157553.0,14496.0
4,USA,2,CAN,20,1953,1,49621008,2028835,160184.0,14886.0
5,USA,2,CAN,20,1954,1,42786000,1818274,163026.0,15330.0
6,USA,2,CAN,20,1955,1,40518000,1883021,165931.0,15736.0
7,USA,2,CAN,20,1956,1,41773008,1889889,168903.0,16123.0
8,USA,2,CAN,20,1957,1,44548000,1905207,171984.0,16677.0
9,USA,2,CAN,20,1958,1,45503008,1766497,174882.0,17120.0
10,USA,2,CAN,20,1959,1,46614000,1703318,177830.0,17522.0
11,USA,2,CAN,20,1960,1,45380000,1735570,180671.0,17909.0
12,USA,2,CAN,20,1961,1,47808000,1722891,183691.0,18238.0
13,USA,2,CAN,20,1962,1,52381008,1735210,186538.0,18614.0
14,USA,2,CAN,20,1963,1,52295008,1588421,189242.0,18964.0
15,USA,2,CAN,20,1964,1,51213008,1677304,191889.0,19325.0
16,USA,2,CAN,20,1965,1,51827008,1544548,194303.0,19678.0
17,USA,2,CAN,20,1966,1,67572000,1642790,196560.0,20048.0
18,USA,2,CAN,20,1967,1,75448000,1813063,198712.0,20412.0
19,USA,2,CAN,20,1968,1,80732000,1782772,200706.0,20729.0
20,USA,2,CAN,20,1969,1,81446000,1770133,202677.0,21028.0
21,USA,2,CAN,20,1970,1,77827008,1920602,205052.0,21297.0
22,USA,2,CAN,20,1971,1,74862000,2110319,207661.0,22962.0
23,USA,2,CAN,20,1972,1,77639000,2260834,209896.0,22220.0
24,USA,2,CAN,20,1973,1,78385000,2404759,211909.0,22494.0
25,USA,2,CAN,20,1974,1,85906000,2926380,213854.0,22808.0
26,USA,2,CAN,20,1975,1,90948000,3074729,215973.0,23142.0
27,USA,2,CAN,20,1976,1,91013000,3639959,218035.0,23450.0
28,USA,2,CAN,20,1977,1,100925000,3877762,220239.0,23726.0
29,USA,2,CAN,20,1978,1,109247000,4016964,222585.0,23964.0
30,USA,2,CAN,20,1979,1,122279000,4119005,225055.0,24202.0
31,USA,2,CAN,20,1980,1,143981000,4387240,227726.0,24516.0
32,USA,2,CAN,20,1981,1,169888000,5246444,229966.0,24820.0
33,USA,2,CAN,20,1982,1,196345000,6182339,232188.0,25117.0
34,USA,2,CAN,20,1983,1,217198000,6562003,234307.0,25367.0
35,USA,2,CAN,20,1984,1,237052000,7195604,236348.0,25608.0
36,USA,2,CAN,20,1985,1,245154000,6809000,238466.0,25843.0
37,USA,2,CAN,20,1986,1,265480000,7180000,240651.0,26101.0
38,USA,2,CAN,20,1987,1,273966000,7960000,242804.0,26450.0
39,USA,2,CAN,20,1988,1,281935000,8830000,245021.0,26798.0
40,USA,2,CAN,20,1989,1,294880000,9480000,247342.0,27286.0
41,USA,2,CAN,20,1990,1,289755000,10280000,249907.0,27701.0
42,USA,2,CAN,20,1991,1,262389000,11420000,252618.0,28031.0
43,USA,2,CAN,20,1992,1,286892000,10310000,255391.0,28377.0
44,USA,2,CAN,20,1993,1,297600000,9600000,258132.0,28703.0
45,USA,2,CAN,20,1994,1,293214000,9695000,260602.0,29036.0
46,USA,2,CAN,20,1995,1,277834000,9126000,262755.0,29354.0
47,USA,2,CAN,20,1996,1,277254000,8624000,265284.0,29672.0
48,USA,2,CAN,20,1997,1,276324000,7801000,267901.0,30004.0
49,USA,2,CAN,20,1998,1,279702000,7677000,274028.0,30563.0
50,USA,2,CAN,20,1999,1,292147000,8395000,276218.0,30857.0
51,USA,2,CAN,20,2000,1,303136000,8320000,278357.0,31147.0
52,USA,2,CAN,20,2001,1,322365000,7745000,285112.0,31021.0
53,USA,2,CAN,20,2002,1,348555000,8522000,290270.0,31284.0
54,USA,2,CAN,20,2003,1,404920000,10102000,292883.0,31592.0
55,USA,2,CAN,20,2004,1,455908000,11501000,295487.0,31914.0
56,USA,2,CAN,20,2005,1,495326000,13224000,298166.0,32253.0
57,USA,2,CAN,20,2006,1,521840000,15103000,300943.0,32611.0
58,USA,2,CAN,20,2007,1,552568000,18491000,303787.0,32986.0
59,USA,2,CAN,20,2008,1,616073000,19836000,306657.0,33370.0
60,USA,2,CAN,20,2009,1,662049000,19575000,309492.0,33753.0
61,USA,2,CAN,20,2010,1,693600000,20240000,312247.0,34126.0
62,USA,2,CAN,20,2011,1,687000000,20081000,314912.0,34487.0
63,USA,2,CAN,20,2012,1,655388000,18445000,317505.0,34838.0
64,USA,2,BHM,31,1982,1,196345000,9000,232188.0,218.0
65,USA,2,BHM,31,1983,1,217198000,8000,234307.0,223.0
66,USA,2,BHM,31,1984,1,237052000,8600,236348.0,227.0
67,USA,2,BHM,31,1985,1,245154000,9600,238466.0,232.0
68,USA,2,BHM,31,1986,1,265480000,11100,240651.0,236.0
69,USA,2,BHM,31,1987,1,273966000,14337,242804.0,241.0
70,USA,2,BHM,31,1988,1,281935000,77700,245021.0,246.0
71,USA,2,BHM,31,1989,1,294880000,66500,247342.0,251.0
