id,stateabb,ccode,year,p5
1,USA,2,1776,1
2,USA,2,1777,1
3,USA,2,1778,1
4,USA,2,1779,1
5,USA,2,1780,1
6,USA,2,1781,1
7,USA,2,1782,1
8,USA,2,1783,1
9,USA,2,1784,1
10,USA,2,1785,1
11,USA,2,1786,1
12,USA,2,1787,1
13,USA,2,1788,1
14,USA,2,1789,1
15,USA,2,1790,1
16,USA,2,1791,1
17,USA,2,1792,1
18,USA,2,1793,1
19,USA,2,1794,1
20,USA,2,1795,1
21,USA,2,1796,1
22,USA,2,1797,1
23,USA,2,1798,1
24,USA,2,1799,1
25,USA,2,1800,1
26,USA,2,1801,1
27,USA,2,1802,1
28,USA,2,1803,1
29,USA,2,1804,1
30,USA,2,1805,1
31,USA,2,1806,1
32,USA,2,1807,1
33,USA,2,1808,1
34,USA,2,1809,1
35,USA,2,1810,1
36,USA,2,1811,1
37,USA,2,1812,1
38,USA,2,1813,1
39,USA,2,1814,1
40,USA,2,1815,1
41,USA,2,1816,1
42,USA,2,1817,1
43,USA,2,1818,1
44,USA,2,1819,1
45,USA,2,1820,1
46,USA,2,1821,1
47,USA,2,1822,1
48,USA,2,1823,1
49,USA,2,1824,1
50,USA,2,1825,1
51,USA,2,1826,1
52,USA,2,1827,1
53,USA,2,1828,1
54,USA,2,1829,1
55,USA,2,1830,1
56,USA,2,1831,1
57,USA,2,1832,1
58,USA,2,1833,1
59,USA,2,1834,1
60,USA,2,1835,1
61,USA,2,1836,1
62,USA,2,1837,1
63,USA,2,1838,1
64,USA,2,1839,1
65,USA,2,1840,1
66,USA,2,1841,1
67,USA,2,1842,1
68,USA,2,1843,1
69,USA,2,1844,1
70,USA,2,1845,1
71,USA,2,1846,1
72,USA,2,1847,1
73,USA,2,1848,1
74,USA,2,1849,1
75,USA,2,1850,1
76,USA,2,1851,1
77,USA,2,1852,1
78,USA,2,1853,1
79,USA,2,1854,1
80,USA,2,1855,1
81,USA,2,1856,1
82,USA,2,1857,1
83,USA,2,1858,1
84,USA,2,1859,1
85,USA,2,1860,1
86,USA,2,1861,1
87,USA,2,1862,1
88,USA,2,1863,1
89,USA,2,1864,1
90,USA,2,1865,1
91,USA,2,1866,1
92,USA,2,1867,1
93,USA,2,1868,1
94,USA,2,1869,1
95,USA,2,1870,1
96,USA,2,1871,1
97,USA,2,1872,1
98,USA,2,1873,1
99,USA,2,1874,1
100,USA,2,1875,1
101,USA,2,1876,1
102,USA,2,1877,1
103,USA,2,1878,1
104,USA,2,1879,1
105,USA,2,1880,1
106,USA,2,1881,1
107,USA,2,1882,1
108,USA,2,1883,1
109,USA,2,1884,1
110,USA,2,1885,1
111,USA,2,1886,1
112,USA,2,1887,1
113,USA,2,1888,1
114,USA,2,1889,1
115,USA,2,1890,1
116,USA,2,1891,1
117,USA,2,1892,1
118,USA,2,1893,1
119,USA,2,1894,1
120,USA,2,1895,1
121,USA,2,1896,1
122,USA,2,1897,1
123,USA,2,1898,1
124,USA,2,1899,1
125,USA,2,1900,1
126,USA,2,1901,1
127,USA,2,1902,1
128,USA,2,1903,1
129,USA,2,1904,1
130,USA,2,1905,1
131,USA,2,1906,1
132,USA,2,1907,1
133,USA,2,1908,1
134,USA,2,1909,1
135,USA,2,1910,1
136,USA,2,1911,1
137,USA,2,1912,1
138,USA,2,1913,1
139,USA,2,1914,1
140,USA,2,1915,1
141,USA,2,1916,1
142,USA,2,1917,1
143,USA,2,1918,1
144,USA,2,1919,1
145,USA,2,1920,1
146,USA,2,1921,1
147,USA,2,1922,1
148,USA,2,1923,1
149,USA,2,1924,1
150,USA,2,1925,1
151,USA,2,1926,1
152,USA,2,1927,1
153,USA,2,1928,1
154,USA,2,1929,1
155,USA,2,1930,1
156,USA,2,1931,1
157,USA,2,1932,1
158,USA,2,1933,1
159,USA,2,1934,1
160,USA,2,1935,1
161,USA,2,1936,1
