id,stateabb1,ccode1,stateabb2,ccode2,year,joint_igo_membership
1,USA,2,CAN,20,1965,1
2,USA,2,CAN,20,1966,1
3,USA,2,CAN,20,1967,1
4,USA,2,CAN,20,1968,1
5,USA,2,CAN,20,1969,1
6,USA,2,CAN,20,1970,1
7,USA,2,CAN,20,1971,1
8,USA,2,CAN,20,1972,1
9,USA,2,CAN,20,1973,1
10,USA,2,CAN,20,1974,1
11,USA,2,CAN,20,1976,1
12,USA,2,CAN,20,1977,1
13,USA,2,CAN,20,1978,1
14,USA,2,CAN,20,1979,1
15,USA,2,CAN,20,1980,1
16,USA,2,CAN,20,1981,1
17,USA,2,CAN,20,1982,1
18,USA,2,CAN,20,1983,1
19,USA,2,CAN,20,1984,1
20,USA,2,CAN,20,1985,1
21,USA,2,CAN,20,1986,1
22,USA,2,CAN,20,1987,1
23,USA,2,CAN,20,1988,1
24,USA,2,CAN,20,1989,1
25,USA,2,CAN,20,1990,1
26,USA,2,CAN,20,1991,1
27,USA,2,CAN,20,1992,1
28,USA,2,CAN,20,1993,1
29,USA,2,CAN,20,1994,1
30,USA,2,CAN,20,1995,1
31,USA,2,CAN,20,1996,1
32,USA,2,CAN,20,1997,1
33,USA,2,CAN,20,1998,1
34,USA,2,CAN,20,1999,1
35,USA,2,CAN,20,2000,1
36,USA,2,CAN,20,2001,1
37,USA,2,CAN,20,2002,1
38,USA,2,CAN,20,2003,1
39,USA,2,CAN,20,2004,1
40,USA,2,CAN,20,2005,1
41,USA,2,BHM,31,1973,1
42,USA,2,BHM,31,1974,1
43,USA,2,BHM,31,1975,1
44,USA,2,BHM,31,1976,1
45,USA,2,BHM,31,1977,1
46,USA,2,BHM,31,1978,1
47,USA,2,BHM,31,1979,1
48,USA,2,BHM,31,1980,1
49,USA,2,BHM,31,1981,1
50,USA,2,BHM,31,1982,1
51,USA,2,BHM,31,1983,1
52,USA,2,BHM,31,1984,1
53,USA,2,BHM,31,1985,1
54,USA,2,BHM,31,1986,1
55,USA,2,BHM,31,1987,1
56,USA,2,BHM,31,1988,1
57,USA,2,BHM,31,1989,1
58,USA,2,BHM,31,1990,1
59,USA,2,BHM,31,1991,1
60,USA,2,BHM,31,1992,1
61,USA,2,BHM,31,1993,1
62,USA,2,BHM,31,1994,1
63,USA,2,BHM,31,1995,1
64,USA,2,BHM,31,1996,1
65,USA,2,BHM,31,1997,1
66,USA,2,BHM,31,1998,1
67,USA,2,BHM,31,1999,1
68,USA,2,BHM,31,2000,1
69,USA,2,BHM,31,2001,1
70,USA,2,BHM,31,2002,1
71,USA,2,BHM,31,2003,1
72,USA,2,BHM,31,2004,1
73,USA,2,BHM,31,2005,1
74,USA,2,CUB,40,1965,1
75,USA,2,CUB,40,1966,1
76,USA,2,CUB,40,1967,1
77,USA,2,CUB,40,1968,1
78,USA,2,CUB,40,1969,1
79,USA,2,CUB,40,1970,1
80,USA,2,CUB,40,1971,1
81,USA,2,CUB,40,1972,1
82,USA,2,CUB,40,1973,1
83,USA,2,CUB,40,1974,1
84,USA,2,CUB,40,1975,1
85,USA,2,CUB,40,1976,1
86,USA,2,CUB,40,1977,1
87,USA,2,CUB,40,1978,1
88,USA,2,CUB,40,1979,1
89,USA,2,CUB,40,1980,1
90,USA,2,CUB,40,1981,1
91,USA,2,CUB,40,1982,1
92,USA,2,CUB,40,1983,1
93,USA,2,CUB,40,1984,1
94,USA,2,CUB,40,1985,1
95,USA,2,CUB,40,1986,1
96,USA,2,CUB,40,1987,1
97,USA,2,CUB,40,1988,1
98,USA,2,CUB,40,1989,1
99,USA,2,CUB,40,1990,1
100,USA,2,CUB,40,1991,1
101,USA,2,CUB,40,1992,1
102,USA,2,CUB,40,1993,1
103,USA,2,CUB,40,1994,1
104,USA,2,CUB,40,1995,1
105,USA,2,CUB,40,1996,1
106,USA,2,CUB,40,1997,1
107,USA,2,CUB,40,1998,1
108,USA,2,CUB,40,1999,1
109,USA,2,CUB,40,2000,1
110,USA,2,CUB,40,2001,1
111,USA,2,CUB,40,2002,1
112,USA,2,CUB,40,2003,1
113,USA,2,CUB,40,2004,1
114,USA,2,CUB,40,2005,1
115,USA,2,HAI,41,1965,1
116,USA,2,HAI,41,1966,1
117,USA,2,HAI,41,1967,1
118,USA,2,HAI,41,1968,1
119,USA,2,HAI,41,1969,1
120,USA,2,HAI,41,1970,1
121,USA,2,HAI,41,1971,1
122,USA,2,HAI,41,1972,1
123,USA,2,HAI,41,1973,1
124,USA,2,HAI,41,1974,1
125,USA,2,HAI,41,1975,1
126,USA,2,HAI,41,1976,1
127,USA,2,HAI,41,1977,1
128,USA,2,HAI,41,1978,1
129,USA,2,HAI,41,1979,1
130,USA,2,HAI,41,1980,1
131,USA,2,HAI,41,1981,1
132,USA,2,HAI,41,1982,1
133,USA,2,HAI,41,1983,1
134,USA,2,HAI,41,1984,1
135,USA,2,HAI,41,1985,1
136,USA,2,HAI,41,1986,1
137,USA,2,HAI,41,1987,1
138,USA,2,HAI,41,1988,1
139,USA,2,HAI,41,1989,1
140,USA,2,HAI,41,1990,1
141,USA,2,HAI,41,1991,1
142,USA,2,HAI,41,1992,1
143,USA,2,HAI,41,1993,1
144,USA,2,HAI,41,1994,1
145,USA,2,HAI,41,1995,1
146,USA,2,HAI,41,1996,1
147,USA,2,HAI,41,1997,1
148,USA,2,HAI,41,1998,1
149,USA,2,HAI,41,1999,1
150,USA,2,HAI,41,2000,1
151,USA,2,HAI,41,2001,1
152,USA,2,HAI,41,2002,1
153,USA,2,HAI,41,2003,1
154,USA,2,HAI,41,2004,1
155,USA,2,HAI,41,2005,1
156,USA,2,DOM,42,1965,1
157,USA,2,DOM,42,1966,1
158,USA,2,DOM,42,1967,1
159,USA,2,DOM,42,1968,1
160,USA,2,DOM,42,1969,1
161,USA,2,DOM,42,1970,1
162,USA,2,DOM,42,1971,1
163,USA,2,DOM,42,1972,1
164,USA,2,DOM,42,1973,1
165,USA,2,DOM,42,1974,1
166,USA,2,DOM,42,1975,1
167,USA,2,DOM,42,1976,1
168,USA,2,DOM,42,1977,1
169,USA,2,DOM,42,1978,1
170,USA,2,DOM,42,1979,1
171,USA,2,DOM,42,1980,1
172,USA,2,DOM,42,1981,1
173,USA,2,DOM,42,1982,1
174,USA,2,DOM,42,1983,1
175,USA,2,DOM,42,1984,1
176,USA,2,DOM,42,1985,1
177,USA,2,DOM,42,1986,1
178,USA,2,DOM,42,1987,1
179,USA,2,DOM,42,1988,1
180,USA,2,DOM,42,1989,1
181,USA,2,DOM,42,1990,1
182,USA,2,DOM,42,1991,1
183,USA,2,DOM,42,1992,1
184,USA,2,DOM,42,1993,1
185,USA,2,DOM,42,1994,1
186,USA,2,DOM,42,1995,1
187,USA,2,DOM,42,1996,1
188,USA,2,DOM,42,1997,1
189,USA,2,DOM,42,1998,1
190,USA,2,DOM,42,1999,1
191,USA,2,DOM,42,2000,1
192,USA,2,DOM,42,2001,1
193,USA,2,DOM,42,2002,1
194,USA,2,DOM,42,2003,1
195,USA,2,DOM,42,2004,1
196,USA,2,DOM,42,2005,1
197,USA,2,JAM,51,1965,1
198,USA,2,JAM,51,1966,1
199,USA,2,JAM,51,1967,1
200,USA,2,JAM,51,1968,1
201,USA,2,JAM,51,1969,1
202,USA,2,JAM,51,1970,1
203,USA,2,JAM,51,1971,1
204,USA,2,JAM,51,1972,1
205,USA,2,JAM,51,1973,1
206,USA,2,JAM,51,1974,1
207,USA,2,JAM,51,1975,1
208,USA,2,JAM,51,1976,1
209,USA,2,JAM,51,1977,1
210,USA,2,JAM,51,1978,1
211,USA,2,JAM,51,1979,1
212,USA,2,JAM,51,1980,1
213,USA,2,JAM,51,1981,1
214,USA,2,JAM,51,1982,1
215,USA,2,JAM,51,1983,1
216,USA,2,JAM,51,1984,1
217,USA,2,JAM,51,1985,1
218,USA,2,JAM,51,1986,1
219,USA,2,JAM,51,1987,1
220,USA,2,JAM,51,1988,1
221,USA,2,JAM,51,1989,1
222,USA,2,JAM,51,1990,1
223,USA,2,JAM,51,1991,1
224,USA,2,JAM,51,1992,1
225,USA,2,JAM,51,1993,1
226,USA,2,JAM,51,1994,1
227,USA,2,JAM,51,1995,1
228,USA,2,JAM,51,1996,1
229,USA,2,JAM,51,1997,1
230,USA,2,JAM,51,1998,1
231,USA,2,JAM,51,1999,1
232,USA,2,JAM,51,2000,1
233,USA,2,JAM,51,2001,1
234,USA,2,JAM,51,2002,1
235,USA,2,JAM,51,2003,1
236,USA,2,JAM,51,2004,1
237,USA,2,JAM,51,2005,1
238,USA,2,TRI,52,1965,1
239,USA,2,TRI,52,1966,1
240,USA,2,TRI,52,1967,1
241,USA,2,TRI,52,1968,1
242,USA,2,TRI,52,1969,1
243,USA,2,TRI,52,1970,1
244,USA,2,TRI,52,1971,1
245,USA,2,TRI,52,1972,1
246,USA,2,TRI,52,1973,1
247,USA,2,TRI,52,1974,1
248,USA,2,TRI,52,1975,1
249,USA,2,TRI,52,1976,1
250,USA,2,TRI,52,1977,1
251,USA,2,TRI,52,1978,1
252,USA,2,TRI,52,1979,1
253,USA,2,TRI,52,1980,1
