id,stateabb,ccode,year,polyarchy,libdem,democ
1,HRG,0,1789,0.028,.,.
2,BRW,0,1789,.,.,.
3,OLD,0,1789,.,.,.
4,SPD,0,1789,0.018,0.061,.
5,HRG,0,1790,0.028,.,.
6,BRW,0,1790,.,.,.
7,OLD,0,1790,.,.,.
8,SPD,0,1790,0.018,0.061,.
9,HRG,0,1791,0.028,.,.
10,BRW,0,1791,.,.,.
11,OLD,0,1791,.,.,.
12,SPD,0,1791,0.018,0.061,.
13,HRG,0,1792,0.028,.,.
14,BRW,0,1792,.,.,.
15,OLD,0,1792,.,.,.
16,SPD,0,1792,0.018,0.061,.
17,HRG,0,1793,0.028,.,.
18,BRW,0,1793,.,.,.
19,OLD,0,1793,.,.,.
20,SPD,0,1793,0.018,0.061,.
21,HRG,0,1794,0.028,.,.
22,BRW,0,1794,.,.,.
23,OLD,0,1794,.,.,.
24,SPD,0,1794,0.018,0.061,.
25,HRG,0,1795,0.028,.,.
26,BRW,0,1795,.,.,.
27,OLD,0,1795,.,.,.
28,SPD,0,1795,0.018,0.061,.
29,HRG,0,1796,0.028,.,.
30,BRW,0,1796,.,.,.
31,OLD,0,1796,.,.,.
32,SPD,0,1796,0.018,0.061,.
33,HRG,0,1797,0.028,.,.
34,BRW,0,1797,.,.,.
35,OLD,0,1797,.,.,.
36,SPD,0,1797,0.018,0.061,.
37,HRG,0,1798,0.028,.,.
38,BRW,0,1798,.,.,.
39,OLD,0,1798,.,.,.
40,SPD,0,1798,0.018,0.061,.
41,HRG,0,1799,0.028,.,.
42,BRW,0,1799,.,.,.
43,OLD,0,1799,.,.,.
44,SPD,0,1799,0.02,0.073,.
45,HRG,0,1800,0.028,.,.
46,BRW,0,1800,.,.,.
47,OLD,0,1800,.,.,.
48,SPD,0,1800,0.018,0.071,.
49,HRG,0,1801,0.028,.,.
50,BRW,0,1801,.,.,.
51,OLD,0,1801,.,.,.
52,SPD,0,1801,.,.,.
53,HRG,0,1802,0.028,.,.
54,BRW,0,1802,.,.,.
55,OLD,0,1802,.,.,.
56,SPD,0,1802,0.02,0.07,.
57,HRG,0,1803,0.028,.,.
58,BRW,0,1803,.,.,.
59,OLD,0,1803,.,.,.
60,SPD,0,1803,0.015,0.058,.
61,HRG,0,1804,0.025,.,.
62,BRW,0,1804,.,.,.
63,OLD,0,1804,.,.,.
64,SPD,0,1804,0.015,0.058,.
65,HRG,0,1805,0.025,.,.
66,BRW,0,1805,.,.,.
67,OLD,0,1805,.,.,.
68,SPD,0,1805,0.015,0.058,.
69,HRG,0,1806,0.01,.,.
70,BRW,0,1806,.,.,.
71,OLD,0,1806,.,.,.
72,NSS,0,1806,.,.,.
73,SPD,0,1806,0.015,0.058,.
74,HRG,0,1807,0.01,.,.
75,BRW,0,1807,.,.,.
76,OLD,0,1807,.,.,.
77,NSS,0,1807,0.026,0.08,.
78,SPD,0,1807,0.015,0.058,.
79,HRG,0,1808,0.01,.,.
80,OLD,0,1808,.,.,.
81,NSS,0,1808,0.026,0.082,.
82,SPD,0,1808,0.015,0.058,.
83,HRG,0,1809,0.01,.,.
84,OLD,0,1809,.,.,.
85,SAX,0,1809,.,.,.
86,NSS,0,1809,0.026,0.082,.
87,SPD,0,1809,0.015,0.058,.
88,HRG,0,1810,0.01,.,.
89,OLD,0,1810,.,.,.
90,SAX,0,1810,.,.,.
91,NSS,0,1810,0.026,0.082,.
92,SPD,0,1810,0.015,0.058,.
93,HRG,0,1811,0.009,.,.
94,SAX,0,1811,.,.,.
95,NSS,0,1811,0.026,0.082,.
96,SPD,0,1811,0.015,0.058,.
97,HRG,0,1812,0.009,.,.
98,SAX,0,1812,.,.,.
99,NSS,0,1812,0.026,0.082,.
100,SPD,0,1812,0.015,0.058,.
101,HRG,0,1813,0.009,.,.
102,BRW,0,1813,.,.,.
103,OLD,0,1813,.,.,.
104,SAX,0,1813,.,.,.
105,NSS,0,1813,0.028,0.087,.
106,SPD,0,1813,0.015,0.058,.
107,HRG,0,1814,0.025,.,.
108,BRW,0,1814,.,.,.
109,OLD,0,1814,.,.,.
110,SAX,0,1814,.,.,.
111,NSS,0,1814,0.037,0.113,.
112,SPD,0,1814,0.015,0.058,.
113,HRG,0,1815,0.029,.,.
114,BRW,0,1815,.,.,.
115,OLD,0,1815,.,.,.
116,SAX,0,1815,0.051,0.089,.
117,NSS,0,1815,0.034,0.113,.
118,SPD,0,1815,0.018,0.061,.
119,HRG,0,1816,0.029,.,.
120,BRW,0,1816,.,.,.
121,OLD,0,1816,.,.,.
122,SAX,0,1816,0.064,0.091,.
123,NSS,0,1816,0.034,0.113,.
124,SPD,0,1816,0.018,0.061,.
125,HRG,0,1817,0.029,.,.
126,BRW,0,1817,.,.,.
127,OLD,0,1817,.,.,.
128,SAX,0,1817,0.072,0.095,.
129,NSS,0,1817,0.034,0.117,.
130,SPD,0,1817,0.018,0.061,.
131,HRG,0,1818,0.029,.,.
132,BRW,0,1818,.,.,.
133,OLD,0,1818,.,.,.
134,SAX,0,1818,0.072,0.095,.
135,NSS,0,1818,0.145,0.2,.
136,SPD,0,1818,0.018,0.061,.
137,HRG,0,1819,0.02,.,.
138,BRW,0,1819,.,.,.
139,OLD,0,1819,.,.,.
140,SAX,0,1819,0.068,0.094,.
141,NSS,0,1819,0.139,0.191,.
142,SPD,0,1819,0.018,0.061,.
143,HRG,0,1820,0.02,.,.
144,BRW,0,1820,.,.,.
145,OLD,0,1820,.,.,.
146,SAX,0,1820,0.064,0.094,.
147,NSS,0,1820,0.136,0.191,.
148,SPD,0,1820,0.018,0.061,.
149,HRG,0,1821,0.02,.,.
150,BRW,0,1821,.,.,.
151,OLD,0,1821,.,.,.
152,SAX,0,1821,0.064,0.094,.
153,NSS,0,1821,0.136,0.189,.
154,SPD,0,1821,0.018,0.061,.
